Grand;01.01.1912 00:00;02.10.2012 00:00;22;6;12
Moyen;01.01.2002 00:00;04.10.2012 00:00;17;3;4
Grand;01.01.2002 00:00;27.09.2012 00:00;12;3.5;6
Grand;01.01.1962 00:00;02.10.2012 00:00;15;1;6
Grand;01.01.2012 00:00;01.11.2012 00:00;20;2.5;14
Grand;01.01.1962 00:00;02.10.2012 00:00;18;3;10
Grand;01.01.1962 00:00;04.10.2012 00:00;22;3.5;14
Grand;26.03.2008 00:00;27.09.2012 00:00;10;2.5;5
Grand;01.01.1962 00:00;27.09.2012 00:00;22;4;14
Grand;01.01.2002 00:00;27.09.2012 00:00;14;4;7
Grand;01.01.2002 00:00;27.09.2012 00:00;13;4;6
Grand;01.01.2002 00:00;27.09.2012 00:00;13;3.5;7
Grand;01.01.1962 00:00;27.09.2012 00:00;20;5;12
Grand;01.01.1912 00:00;02.10.2012 00:00;25;3;14
Grand;01.01.2002 00:00;02.10.2012 00:00;15;1;8
Grand;01.01.1962 00:00;27.09.2012 00:00;25;4;13
Grand;01.01.1962 00:00;27.09.2012 00:00;20;5;14
Grand;01.01.2002 00:00;02.10.2012 00:00;6;2;4
Moyen;01.01.2002 00:00;02.10.2012 00:00;6;1;5
Petit;01.01.1962 00:00;04.10.2012 00:00;2.5;0.3;3
Moyen;01.01.2002 00:00;02.10.2012 00:00;6;2.5;3
Grand;01.01.2002 00:00;22.11.2012 00:00;14;2.7;6
Grand;01.01.1962 00:00;01.11.2012 00:00;20;3;11
Grand;01.01.1962 00:00;01.11.2012 00:00;25;3;15
Grand;01.01.1962 00:00;01.11.2012 00:00;22;2.5;14
Grand;01.01.2002 00:00;27.09.2012 00:00;12;4;6
Grand;01.01.1912 00:00;02.10.2012 00:00;25;5;12
Moyen;01.01.2002 00:00;04.10.2012 00:00;15;2.5;3
Grand;01.01.1912 00:00;01.11.2012 00:00;25;3;15
Moyen;01.01.2007 00:00;02.10.2012 00:00;10;3;6
Moyen;01.01.2002 00:00;02.10.2012 00:00;8;2.5;8
Grand;01.01.2002 00:00;27.09.2012 00:00;15;4;9
Grand;01.01.1962 00:00;02.10.2012 00:00;20;7;14
Moyen;01.01.2007 00:00;27.09.2012 00:00;9;2.5;5
Grand;01.01.2002 00:00;02.10.2012 00:00;18;3;7
Moyen;01.01.2002 00:00;04.10.2012 00:00;15;3;4
Moyen;01.01.2002 00:00;04.10.2012 00:00;13;3;4
Grand;01.01.1962 00:00;02.10.2012 00:00;20;3;18
Grand;01.01.2002 00:00;01.11.2012 00:00;22;3.5;8
Grand;01.01.2002 00:00;27.09.2012 00:00;14;3.5;6
Grand;01.01.1912 00:00;02.10.2012 00:00;25;10;13
Moyen;01.01.2002 00:00;27.09.2012 00:00;12;3;11
Grand;01.01.1962 00:00;27.09.2012 00:00;18;4;8
Grand;01.01.1962 00:00;27.09.2012 00:00;18;3.5;12
Grand;01.01.1962 00:00;04.10.2012 00:00;20;6;13
Moyen;01.01.2002 00:00;02.10.2012 00:00;9;2;6
Moyen;01.01.1912 00:00;02.10.2012 00:00;20;6;16
Moyen;01.01.1962 00:00;27.09.2012 00:00;11;3;10
Grand;01.01.1962 00:00;27.09.2012 00:00;22;5;12
Grand;01.01.2002 00:00;27.09.2012 00:00;15;3;7
Grand;01.01.1962 00:00;27.09.2012 00:00;15;4;9
Moyen;01.01.1962 00:00;04.10.2012 00:00;10;2;2
Grand;01.01.2002 00:00;27.09.2012 00:00;12;3;6
Grand;01.01.1962 00:00;04.10.2012 00:00;4;2.5;3
Grand;01.01.2002 00:00;04.10.2012 00:00;4;1;2
Moyen;01.01.1962 00:00;04.10.2012 00:00;12;3;4
Grand;01.01.1962 00:00;04.10.2012 00:00;15;3;24
Grand;01.01.1912 00:00;02.10.2012 00:00;30;11;13
Grand;01.01.1962 00:00;02.10.2012 00:00;20;4;15
Grand;01.01.2002 00:00;01.11.2012 00:00;22;3;8
Moyen;01.01.2002 00:00;02.10.2012 00:00;9;3;11
Grand;01.01.2002 00:00;04.10.2012 00:00;12;2.5;6
Moyen;01.01.2007 00:00;02.10.2012 00:00;9;3;5
Grand;01.01.1962 00:00;27.09.2012 00:00;16;5;10
Moyen;01.01.2002 00:00;27.09.2012 00:00;7;2;8
Moyen;01.01.1962 00:00;04.10.2012 00:00;25;0.2;5
Moyen;01.01.1912 00:00;09.06.2016 00:00;15;2;10
Grand;01.01.2002 00:00;02.10.2012 00:00;4;3;5
Grand;01.01.1812 00:00;02.04.2014 00:00;31;3.5;35
Grand;01.01.1962 00:00;02.10.2012 00:00;25;3;12
Grand;01.01.1962 00:00;27.09.2012 00:00;18;3;14
Moyen;01.01.1962 00:00;04.10.2012 00:00;13;3;10
Moyen;01.01.1962 00:00;02.10.2012 00:00;16;1;4
Grand;01.01.1962 00:00;02.10.2012 00:00;22;0.5;10
Moyen;21.01.2008 00:00;04.10.2012 00:00;6;2.5;5
Grand;01.01.2002 00:00;27.09.2012 00:00;14;3.5;6
Moyen;01.01.1962 00:00;02.10.2012 00:00;17;1;14
Grand;01.01.2002 00:00;02.10.2012 00:00;18;2;7
Moyen;01.01.2002 00:00;02.10.2012 00:00;15;2;11
Petit;01.01.1962 00:00;04.10.2012 00:00;7;1.3;4
Grand;01.01.2002 00:00;27.09.2012 00:00;11;3;7
Grand;01.01.2002 00:00;27.09.2012 00:00;12;4;6
Moyen;07.12.2006 00:00;22.11.2012 00:00;9;2.6;8
Grand;01.01.1962 00:00;22.11.2012 00:00;17;3.3;11
Grand;01.01.1962 00:00;22.11.2012 00:00;13;3.4;19
Grand;01.01.2002 00:00;22.11.2012 00:00;17;4;7
Grand;01.01.1912 00:00;17.07.2013 00:00;23;1.7;14
Grand;01.01.1962 00:00;22.11.2012 00:00;17;3.2;12
Grand;01.01.1962 00:00;22.11.2012 00:00;19;2.8;9
Grand;01.01.1962 00:00;22.11.2012 00:00;13;2.5;8
Moyen;01.01.1912 00:00;30.10.2019 00:00;16;3;11
Grand;01.01.1962 00:00;30.10.2019 00:00;21;3;11
Grand;01.01.2002 00:00;27.09.2012 00:00;14;3;8
Grand;01.01.1962 00:00;27.09.2012 00:00;16;6;8
Grand;01.01.1962 00:00;27.09.2012 00:00;12;3;12
Grand;01.01.2002 00:00;27.09.2012 00:00;15;4;7
Grand;01.01.1962 00:00;27.09.2012 00:00;22;6;14
Moyen;01.01.2002 00:00;27.09.2012 00:00;13;3.5;9
Grand;01.01.2002 00:00;27.09.2012 00:00;14;4;10
Grand;01.01.1962 00:00;22.11.2012 00:00;18;3.3;9
Grand;01.01.2002 00:00;27.09.2012 00:00;11;4;6
Grand;01.01.1962 00:00;02.10.2012 00:00;16;3.5;8
Grand;01.01.2002 00:00;22.11.2012 00:00;14;3.6;8
Grand;01.01.2002 00:00;27.09.2012 00:00;14;3.5;9
Moyen;01.01.1962 00:00;27.09.2012 00:00;22;3;14
Grand;01.01.2002 00:00;02.10.2012 00:00;10;3.5;6
Grand;01.01.1962 00:00;27.09.2012 00:00;20;5;10
Moyen;01.01.1962 00:00;02.10.2012 00:00;18;2;13
Grand;01.01.2002 00:00;27.09.2012 00:00;16;3.5;9
Grand;01.01.1962 00:00;27.09.2012 00:00;18;4;11
